id;start_date;end_date;curr;mean_raw_ret_port;mean_raw_ret_bm;mean_raw_ret_smi;mean_raw_ret_EuroStoxx;mean_raw_ret_SP500;ret_vola_port;ret_vola_bm;ret_vola_smi;ret_vola_EuroStoxx;ret_vola_SP500;SR_port;SR_bm;SR_smi;SR_EuroStoxx;SR_SP500;bm_adj_ret_port;res_risk_port;market_port;market_smi;market_EuroStoxx;market_SP500;size_port;size_smi;size_EuroStoxx;size_SP500;value_port;value_smi;value_EuroStoxx;value_SP500;mom_port;mom_smi;mom_EuroStoxx;mom_SP500;div_port;div_smi;div_Eurostoxx;div_SP500;turnover;temperament;activity;conviction;dispo_eff
16;06.03.2012;27.11.2016;EUR;0.026;0.038;0.04455;0.0894;0.0309;0.086;0.076;0.1644;0.0891;0.24;0.65;0.498;0.4532;0.95;0.9782;0.0243;0.0882;0.498;0.536;1.003;0.42;0.42;0.639;0.36;0.371;0.445;0.276;0.917;0.411;0.21;0.348;0.351;0.126;0.768;0.882;0.488;0.493;2.07;61;55;79;69
17;27.02.2013;23.02.2018;CHF;0.04;0.0348;0.03555;0.0426;0.0168;0.081;0.0968;0.1032;0.1199;0.168;0.58;0.702;0.4488;1.368;0.7638;0.0426;0.0486;0.804;0.712;0.425;0.5175;0.5175;0.792;0.666;0.63;0.345;0.352;0.392;0.372;0.126;0.564;0.207;0.116;0.564;0.864;1.016;0.493;1.065;89;99;89;30
18;26.05.2012;26.09.2016;USD;0.039;0.0492;0.03825;0.039;0.0282;0.05;0.0648;0.1308;0.1364;0.154;0.38;0.414;0.4708;1.197;0.5695;0.0327;0.072;0.492;0.432;0.6375;0.39;0.39;0.702;0.63;0.917;0.415;0.2;0.959;0.363;0.26;0.252;0.312;0.099;0.81;1.206;1.144;0.6715;1.17;77;96;5;61
19;27.04.2012;21.07.2016;EUR;0.0345;0.0464;0.04905;0.051;0.0372;0.15;0.0592;0.1704;0.1364;0.12;0.75;0.33;0.3872;0.494;0.6968;0.0282;0.0594;0.72;0.72;0.5695;1.02;1.02;0.999;0.63;0.378;0.415;0.304;0.917;0.258;0.156;0.492;0.192;0.133;0.822;1.035;1.168;0.527;1.275;75;34;50;80
20;13.03.2011;12.12.2018;CHF;0.029;0.0476;0.0675;0.0738;0.0183;0.146;0.044;0.0816;0.1089;0.298;0.43;0.36;0.4136;0.9025;0.7169;0.0438;0.0312;0.606;0.512;0.544;1.0575;1.0575;0.837;0.636;1.001;0.65;0.596;0.882;0.429;0.122;0.392;0.309;0.139;0.45;0.882;0.832;0.8585;1.47;28;74;5;32
21;09.08.2011;22.06.2018;USD;0.061;0.0356;0.06615;0.0636;0.0372;0.126;0.108;0.1032;0.1034;0.266;0.485;0.654;0.6468;0.7315;0.8308;0.015;0.0852;0.684;0.768;0.5695;0.84;0.84;0.765;0.876;0.532;0.555;0.24;0.441;0.345;0.274;0.416;0.195;0.063;0.576;0.639;0.48;1.0285;1.05;93;44;57;26
22;23.12.2011;22.10.2018;EUR;0.034;0.0344;0.0396;0.0582;0.0309;0.069;0.0856;0.0792;0.0704;0.15;0.25;0.66;0.6512;1.1685;0.6097;0.0273;0.0606;0.336;1.008;0.561;0.75;0.75;0.9;0.576;0.805;0.695;0.48;0.826;0.201;0.278;0.588;0.219;0.059;0.762;0.585;0.488;0.816;2.145;44;51;34;2
23;11.02.2011;27.01.2018;CHF;0.075;0.0332;0.0306;0.0786;0.0369;0.125;0.1112;0.0996;0.0836;0.226;0.435;0.45;0.5148;0.8645;0.737;0.0381;0.0324;0.678;1.008;1.02;1.005;1.005;0.558;0.846;0.854;0.345;0.5;1.036;0.399;0.252;0.488;0.309;0.103;0.762;0.648;1.104;0.6375;1.005;79;20;30;50
24;15.06.2012;19.07.2018;USD;0.0395;0.056;0.06165;0.0474;0.0393;0.138;0.1072;0.1296;0.1001;0.214;0.54;0.846;0.5412;0.855;0.5695;0.0198;0.0336;0.876;0.912;0.4505;0.8625;0.8625;1.296;0.51;0.833;0.625;0.48;0.56;0.18;0.14;0.368;0.384;0.054;0.45;1.008;0.648;1.1135;1.11;81;92;79;1
25;14.05.2013;23.08.2016;EUR;0.067;0.0496;0.04185;0.0822;0.0396;0.087;0.056;0.1704;0.1595;0.166;0.495;0.372;0.374;1.007;0.5561;0.0297;0.0516;0.9;1.12;1.2665;1.0425;1.0425;0.675;0.372;0.448;0.67;0.58;0.735;0.153;0.142;0.532;0.372;0.09;0.558;1.251;0.92;0.6375;2.01;51;20;31;40
26;17.09.2010;11.01.2018;CHF;0.0275;0.054;0.03825;0.0306;0.03;0.132;0.0456;0.1284;0.1342;0.22;0.31;0.798;0.55;0.988;0.737;0.033;0.045;0.312;0.816;0.578;0.4875;0.4875;1.215;0.354;0.462;0.295;0.436;0.42;0.45;0.296;0.308;0.195;0.082;0.498;0.621;0.728;0.9265;2.205;37;17;96;51
27;09.10.2012;03.07.2016;USD;0.0625;0.0324;0.05805;0.0516;0.0378;0.144;0.056;0.0792;0.0957;0.204;0.55;0.744;0.4488;0.8075;0.6901;0.0432;0.0654;0.564;1.072;0.595;0.4725;0.4725;0.963;0.444;0.588;0.4;0.432;0.455;0.318;0.102;0.38;0.342;0.146;0.408;1.008;0.688;0.6035;1.95;41;6;100;24
28;20.09.2010;27.10.2017;EUR;0.0325;0.0204;0.0513;0.0732;0.0402;0.147;0.072;0.0876;0.1507;0.206;0.74;0.894;0.2508;0.703;0.4422;0.0411;0.0498;0.582;0.6;0.561;0.72;0.72;0.918;0.894;0.833;0.27;0.504;0.826;0.357;0.16;0.356;0.399;0.082;0.78;1.296;0.968;0.884;0.81;26;51;39;70
29;17.03.2012;19.11.2018;CHF;0.031;0.0216;0.0315;0.0564;0.0219;0.064;0.1176;0.1704;0.1001;0.144;0.655;0.438;0.484;1.216;0.3618;0.0273;0.0852;0.708;0.664;0.6715;1.065;1.065;0.828;0.612;0.791;0.635;0.236;0.588;0.333;0.104;0.564;0.186;0.115;0.726;1.017;0.976;0.697;0.975;99;12;78;87
30;26.10.2010;08.06.2016;USD;0.0505;0.0452;0.0657;0.0582;0.0225;0.098;0.1;0.114;0.1309;0.214;0.655;0.618;0.528;1.3205;0.9983;0.0405;0.0372;0.606;0.656;0.833;0.51;0.51;1.044;0.378;0.966;0.63;0.484;0.42;0.261;0.266;0.24;0.27;0.129;0.672;1.269;1.12;1.1475;1.905;28;70;11;82
31;19.06.2011;13.07.2018;EUR;0.068;0.0392;0.0459;0.0714;0.0447;0.111;0.0664;0.1572;0.0682;0.234;0.61;0.696;0.4092;1.121;0.8241;0.0348;0.039;0.402;0.512;0.4675;0.39;0.39;0.531;0.3;0.91;0.625;0.548;0.861;0.405;0.1;0.24;0.303;0.097;0.768;1.125;1.056;0.714;0.915;60;91;68;86
32;31.08.2011;10.10.2016;CHF;0.028;0.0436;0.0612;0.0672;0.0312;0.074;0.0848;0.1308;0.0836;0.124;0.33;0.3;0.6204;0.551;0.6834;0.0282;0.0594;0.36;0.52;0.544;0.6225;0.6225;0.792;0.612;0.959;0.44;0.348;0.693;0.318;0.192;0.548;0.393;0.088;0.372;0.513;1.088;0.799;1.245;63;32;26;86
33;16.01.2012;26.04.2018;USD;0.0525;0.0324;0.0396;0.0816;0.0444;0.084;0.084;0.1752;0.1639;0.198;0.5;0.72;0.2772;0.6365;0.938;0.0312;0.0444;0.654;0.424;0.8755;0.42;0.42;1.152;0.348;0.994;0.51;0.436;0.525;0.18;0.2;0.392;0.438;0.064;0.612;0.513;1.024;0.6375;2.145;78;29;85;80
34;19.04.2011;02.08.2018;EUR;0.038;0.06;0.0351;0.0762;0.0348;0.128;0.0776;0.12;0.1551;0.136;0.73;0.456;0.5104;0.703;0.4623;0.0258;0.0558;0.678;0.736;0.7055;0.585;0.585;1.071;0.888;1.029;0.715;0.428;0.973;0.303;0.224;0.348;0.228;0.097;0.744;0.693;0.928;0.5865;1.62;57;8;97;34
35;11.02.2011;04.05.2018;CHF;0.026;0.0356;0.05625;0.0408;0.0333;0.099;0.1192;0.1344;0.0726;0.25;0.67;0.822;0.418;0.817;0.6767;0.0405;0.0894;0.684;0.512;0.9775;0.5025;0.5025;1.287;0.732;0.546;0.315;0.292;0.371;0.303;0.228;0.296;0.177;0.094;0.336;0.765;0.432;0.782;1.71;67;82;17;61
36;11.06.2011;09.10.2017;USD;0.0255;0.0572;0.0648;0.0366;0.0213;0.053;0.0728;0.096;0.1144;0.246;0.665;0.87;0.6556;0.9215;0.7705;0.0312;0.039;0.594;1.064;0.4845;1.02;1.02;1.062;0.39;0.392;0.325;0.4;0.896;0.24;0.274;0.288;0.285;0.057;0.81;1.305;0.408;1.122;1.35;91;58;39;4
37;15.03.2011;05.01.2019;EUR;0.031;0.0424;0.0234;0.0756;0.0444;0.123;0.0584;0.1212;0.1177;0.12;0.33;0.306;0.3608;0.931;0.9313;0.042;0.0462;0.48;0.608;0.663;0.81;0.81;1.044;0.726;0.441;0.55;0.572;0.427;0.159;0.114;0.572;0.306;0.055;0.582;0.909;0.8;0.595;0.825;62;21;9;68
38;04.04.2013;21.06.2018;CHF;0.0685;0.0408;0.0558;0.0894;0.0339;0.074;0.048;0.09;0.1276;0.28;0.36;0.528;0.3256;0.817;0.4221;0.0261;0.0552;0.684;0.984;1.02;1.005;1.005;1.206;0.306;1.001;0.485;0.58;0.749;0.168;0.286;0.292;0.324;0.078;0.33;1.35;1.168;1.0285;2.07;48;23;100;74
39;14.09.2011;21.01.2019;USD;0.037;0.0256;0.0333;0.0702;0.0402;0.14;0.0896;0.0624;0.1518;0.166;0.51;0.336;0.5016;0.551;0.5092;0.0216;0.0882;0.564;0.616;1.1135;0.45;0.45;0.495;0.834;0.938;0.585;0.336;0.924;0.282;0.216;0.412;0.333;0.112;0.732;0.882;1.12;0.629;2.07;88;83;64;50
40;15.03.2012;18.01.2017;EUR;0.031;0.03;0.03285;0.051;0.0408;0.055;0.1032;0.1752;0.1276;0.296;0.73;0.858;0.594;0.6365;0.5293;0.0162;0.0612;0.384;0.488;1.054;0.8475;0.8475;0.558;0.318;0.651;0.715;0.276;0.896;0.441;0.154;0.584;0.153;0.098;0.324;1.179;0.928;0.4675;1.29;65;79;9;74
41;27.08.2012;29.04.2017;CHF;0.0295;0.0412;0.0315;0.0594;0.0354;0.143;0.0904;0.15;0.0858;0.26;0.295;0.81;0.5016;0.798;0.4891;0.0426;0.0336;0.858;0.696;0.901;0.5475;0.5475;0.729;0.708;0.742;0.695;0.588;0.672;0.333;0.198;0.472;0.279;0.146;0.822;0.756;0.736;1.0285;1.515;55;53;87;6
42;26.01.2012;23.05.2016;USD;0.0665;0.048;0.05445;0.0468;0.0207;0.109;0.1024;0.0948;0.1166;0.116;0.42;0.456;0.4972;0.5795;0.9447;0.0285;0.0888;0.6;0.616;0.8925;0.795;0.795;0.99;0.6;1.001;0.345;0.568;0.553;0.447;0.176;0.456;0.24;0.071;0.606;1.179;0.512;0.4675;1.38;18;32;39;70
43;16.02.2011;15.09.2016;EUR;0.033;0.0504;0.04365;0.0774;0.0345;0.116;0.0496;0.06;0.1606;0.168;0.715;0.762;0.3872;0.8265;0.9246;0.015;0.0522;0.438;0.632;0.4675;0.525;0.525;1.206;0.402;0.896;0.64;0.36;0.364;0.312;0.104;0.244;0.369;0.059;0.414;0.981;1.152;0.884;1.08;66;68;35;22
44;09.03.2011;16.03.2018;CHF;0.032;0.0312;0.06615;0.09;0.0189;0.108;0.0592;0.1752;0.132;0.216;0.63;0.498;0.4092;1.0165;0.9782;0.0432;0.0606;0.546;0.696;0.952;1.02;1.02;0.945;0.3;0.721;0.555;0.276;0.665;0.171;0.1;0.34;0.429;0.11;0.504;1.026;0.84;0.459;0.78;91;100;91;64
45;15.12.2011;31.03.2017;USD;0.0545;0.0412;0.04185;0.0834;0.0354;0.144;0.0696;0.1248;0.0693;0.138;0.305;0.348;0.4532;0.5985;0.4288;0.0408;0.0888;0.36;0.864;0.935;0.6;0.6;1.008;0.774;0.567;0.73;0.248;0.63;0.186;0.138;0.436;0.384;0.115;0.462;1.17;0.688;0.646;1.44;83;27;23;35
46;15.02.2012;08.04.2018;EUR;0.0615;0.0228;0.04905;0.0516;0.0168;0.135;0.1024;0.0984;0.132;0.236;0.355;0.558;0.5368;1.406;0.8241;0.0411;0.042;0.342;0.992;0.544;0.48;0.48;1.143;0.864;0.952;0.715;0.308;0.49;0.264;0.104;0.536;0.291;0.075;0.87;0.756;0.552;0.6715;2.115;74;55;67;99
47;03.02.2012;22.10.2016;CHF;0.07;0.044;0.0504;0.0414;0.0318;0.1;0.0536;0.1668;0.1562;0.286;0.75;0.564;0.5016;1.4155;0.8308;0.0282;0.03;0.792;0.752;0.4675;1.095;1.095;1.35;0.642;0.553;0.37;0.476;0.707;0.45;0.138;0.216;0.321;0.092;0.756;1.26;0.64;1.19;1.755;19;54;53;17
48;18.10.2010;27.06.2018;USD;0.054;0.0508;0.06615;0.0648;0.0159;0.092;0.048;0.1044;0.1056;0.224;0.325;0.498;0.484;0.7315;0.4154;0.0288;0.0636;0.882;0.672;1.2325;0.5925;0.5925;1.242;0.564;0.469;0.72;0.492;0.742;0.21;0.142;0.22;0.414;0.055;0.36;0.576;0.68;0.7395;1.44;84;91;87;30
49;06.01.2011;14.09.2016;EUR;0.059;0.0564;0.04185;0.0552;0.0441;0.06;0.0592;0.09;0.165;0.102;0.745;0.684;0.3256;0.7125;0.8978;0.0417;0.045;0.672;0.496;0.901;0.4875;0.4875;0.864;0.786;1.029;0.545;0.404;0.497;0.315;0.192;0.596;0.408;0.131;0.738;0.999;0.72;0.765;1.785;100;70;36;68
50;05.09.2010;14.09.2016;CHF;0.071;0.0492;0.02925;0.0618;0.0312;0.07;0.1032;0.1644;0.1485;0.292;0.585;0.498;0.5456;1.0925;0.7437;0.0261;0.0504;0.738;1.192;1.1985;0.7425;0.7425;0.828;0.336;0.651;0.345;0.428;0.777;0.225;0.11;0.292;0.177;0.068;0.378;0.756;1.192;0.493;1.515;25;49;50;54
51;13.12.2010;01.01.2017;USD;0.0255;0.0484;0.0279;0.078;0.0372;0.124;0.0992;0.1248;0.0583;0.102;0.45;0.438;0.5588;1.045;0.9581;0.0246;0.0324;0.852;0.544;0.476;0.8475;0.8475;0.756;0.534;0.798;0.61;0.364;0.77;0.36;0.232;0.56;0.381;0.141;0.816;1.098;1.144;1.2495;2.145;70;19;78;77
52;30.04.2011;04.03.2017;EUR;0.031;0.04;0.0432;0.0732;0.0417;0.142;0.104;0.1104;0.1144;0.164;0.415;0.786;0.5632;0.8645;0.6901;0.0183;0.0606;0.9;0.496;1.037;0.585;0.585;0.81;0.744;0.364;0.63;0.484;0.903;0.282;0.25;0.42;0.363;0.059;0.36;0.684;0.952;0.765;1.155;9;6;55;58
53;07.12.2010;05.09.2016;CHF;0.047;0.0512;0.06075;0.0882;0.0291;0.069;0.1128;0.0636;0.1012;0.272;0.42;0.72;0.4884;0.5035;0.6097;0.0369;0.0822;0.408;0.752;1.2495;0.7725;0.7725;1.08;0.87;0.707;0.51;0.312;0.896;0.45;0.176;0.384;0.276;0.135;0.846;1.278;0.768;1.037;0.75;96;24;63;93
54;10.03.2012;02.02.2018;USD;0.047;0.028;0.03285;0.084;0.0324;0.123;0.116;0.1488;0.1529;0.104;0.645;0.834;0.352;1.2065;0.5159;0.0432;0.0528;0.576;1.032;1.275;0.72;0.72;0.675;0.792;0.903;0.67;0.208;0.441;0.345;0.16;0.244;0.3;0.05;0.552;0.891;0.68;0.442;1.425;60;61;89;22
55;01.04.2013;28.10.2016;EUR;0.065;0.0468;0.04635;0.0426;0.0252;0.089;0.0784;0.18;0.1034;0.102;0.615;0.828;0.2508;1.273;0.3618;0.0375;0.0474;0.42;0.648;0.9435;1.0125;1.0125;0.495;0.372;0.406;0.25;0.488;0.539;0.372;0.278;0.336;0.228;0.112;0.594;1.242;0.992;1.1475;1.245;29;30;42;60
56;07.01.2013;10.11.2017;CHF;0.073;0.0476;0.0558;0.0732;0.0345;0.117;0.084;0.1416;0.0924;0.188;0.69;0.498;0.5544;0.893;0.3752;0.027;0.0882;0.594;0.944;0.663;1.065;1.065;1.197;0.858;0.455;0.325;0.568;0.805;0.189;0.228;0.236;0.327;0.094;0.372;0.801;1.168;0.85;1.2;94;81;54;40
57;21.03.2011;05.02.2017;USD;0.0705;0.0316;0.02565;0.0774;0.0363;0.054;0.0632;0.1476;0.1012;0.284;0.48;0.672;0.418;0.9215;0.5762;0.0372;0.075;0.48;0.872;1.0625;0.7425;0.7425;1.125;0.594;0.728;0.445;0.492;0.763;0.273;0.156;0.572;0.231;0.14;0.486;1.125;1.176;1.0115;1.275;11;62;75;32
58;03.12.2011;22.11.2017;EUR;0.0745;0.0328;0.04815;0.0426;0.0366;0.084;0.0976;0.1668;0.1166;0.234;0.65;0.63;0.4004;1.387;0.67;0.0387;0.078;0.702;0.656;1.1475;0.8175;0.8175;0.828;0.54;0.609;0.37;0.528;0.427;0.288;0.152;0.48;0.375;0.096;0.432;0.477;0.912;1.1645;2.085;4;21;81;2
59;07.12.2012;02.10.2017;CHF;0.0735;0.0528;0.02925;0.0324;0.0291;0.06;0.0416;0.06;0.0605;0.278;0.615;0.51;0.2508;0.7885;0.6298;0.018;0.0768;0.81;0.888;1.1475;0.675;0.675;0.801;0.618;0.896;0.365;0.252;0.511;0.195;0.158;0.476;0.276;0.119;0.414;0.513;0.968;0.7225;1.365;93;73;6;57
60;04.01.2013;03.05.2016;USD;0.055;0.0452;0.03465;0.0768;0.0276;0.074;0.0416;0.1704;0.0814;0.162;0.68;0.834;0.3916;0.5985;0.7772;0.0306;0.0738;0.3;0.752;0.476;0.3825;0.3825;1.161;0.702;0.595;0.725;0.6;0.588;0.291;0.132;0.388;0.435;0.073;0.75;0.819;0.696;1.1985;1.35;79;90;97;5
61;03.01.2012;17.11.2016;EUR;0.0475;0.0564;0.0432;0.039;0.0366;0.091;0.104;0.1044;0.1056;0.12;0.63;0.48;0.462;1.2825;0.4288;0.0438;0.048;0.708;0.416;1.1645;0.9075;0.9075;0.729;0.546;0.798;0.585;0.484;0.798;0.336;0.12;0.488;0.414;0.077;0.588;0.918;0.592;0.544;1.245;15;89;43;13
62;14.09.2012;21.05.2017;CHF;0.0475;0.0488;0.0297;0.0768;0.0357;0.051;0.0584;0.066;0.1496;0.25;0.73;0.456;0.506;0.9405;0.7303;0.0324;0.0636;0.522;0.64;0.9095;0.5775;0.5775;1.188;0.414;0.581;0.42;0.48;0.973;0.363;0.222;0.224;0.372;0.076;0.75;0.702;0.512;1.2155;1.455;35;88;87;100
63;14.08.2012;13.05.2017;USD;0.0445;0.0508;0.0567;0.0636;0.0354;0.089;0.0416;0.0612;0.1254;0.178;0.425;0.306;0.2596;0.684;0.8576;0.0264;0.0882;0.888;0.432;0.612;0.93;0.93;1.26;0.846;0.651;0.64;0.28;0.588;0.345;0.23;0.208;0.27;0.101;0.318;1.269;0.632;1.088;1.605;78;75;58;5
